location,summer_temp_max,predicted_change,lower_bound,upper_bound
Maria Island,15.93458364,2.274364759,-0.737796206,5.311993416
Maria Island,15.93886412,2.269377039,-0.737802657,5.301697265
Maria Island,15.94314461,2.264389318,-0.737809109,5.291401115
Maria Island,15.9474251,2.259401597,-0.73781556,5.281161607
Maria Island,15.95170558,2.254413876,-0.737822012,5.272048567
Maria Island,15.95598607,2.249426155,-0.737828463,5.262935526
Maria Island,15.96026656,2.244438434,-0.737834915,5.253822485
Maria Island,15.96454704,2.239450713,-0.737841366,5.244709445
Maria Island,15.96882753,2.234462993,-0.737847818,5.235596404
Maria Island,15.97310802,2.229475272,-0.737854269,5.226483363
Maria Island,15.9773885,2.224487551,-0.737860721,5.217370323
Maria Island,15.98166899,2.21949983,-0.737867172,5.208257282
Maria Island,15.98594948,2.214512109,-0.737873624,5.199144241
Maria Island,15.99022996,2.209524388,-0.737880075,5.189306373
Maria Island,15.99451045,2.204536667,-0.738641124,5.177516389
Maria Island,15.99879093,2.199548946,-0.737936938,5.165726404
Maria Island,16.00307142,2.194561226,-0.738000757,5.15393642
Maria Island,16.00735191,2.189573505,-0.738064577,5.142146435
Maria Island,16.01163239,2.184585784,-0.738128396,5.130356451
Maria Island,16.01591288,2.179598063,-0.738185348,5.118566467
Maria Island,16.02019337,2.174610342,-0.738177074,5.106776482
Maria Island,16.02447385,2.169622621,-0.738168799,5.096356899
Maria Island,16.02875434,2.1646349,-0.737609834,5.086131194
Maria Island,16.03303483,2.15964718,-0.735761217,5.07590549
Maria Island,16.03731531,2.154659459,-0.733912599,5.065679785
Maria Island,16.0415958,2.149671738,-0.732063982,5.055454081
Maria Island,16.04587629,2.144684017,-0.730215365,5.045228376
Maria Island,16.05015677,2.139696296,-0.728366747,5.035002671
Maria Island,16.05443726,2.134708575,-0.72651813,5.024776967
Maria Island,16.05871775,2.129720854,-0.724669513,5.014551262
Maria Island,16.06299823,2.124733134,-0.722820895,5.004325558
Maria Island,16.06727872,2.119745413,-0.720972278,4.994099853
Maria Island,16.07155921,2.114757692,-0.719123661,4.983874149
Maria Island,16.07583969,2.109769971,-0.717275043,4.973648444
Maria Island,16.08012018,2.10478225,-0.715426426,4.96342274
Maria Island,16.08440066,2.099794529,-0.713577809,4.953197035
Maria Island,16.08868115,2.094806808,-0.711729191,4.942971331
Maria Island,16.09296164,2.089819088,-0.709880574,4.932745626
Maria Island,16.09724212,2.084831367,-0.708547737,4.924311421
Maria Island,16.10152261,2.079843646,-0.709833374,4.916060036
Maria Island,16.1058031,2.074855925,-0.711862123,4.907808651
Maria Island,16.11008358,2.069868204,-0.713878686,4.899557267
Maria Island,16.11436407,2.064880483,-0.715835258,4.891305882
Maria Island,16.11864456,2.059892762,-0.717791829,4.883054497
Maria Island,16.12292504,2.054905042,-0.719748401,4.874803112
Maria Island,16.12720553,2.049917321,-0.721704972,4.866551727
Maria Island,16.13148602,2.0449296,-0.723661544,4.858226798
Maria Island,16.1357665,2.039941879,-0.721477963,4.849862752
Maria Island,16.14004699,2.034954158,-0.7187542,4.841498706
Maria Island,16.14432748,2.029966437,-0.716030436,4.83313466
Maria Island,16.14860796,2.024978716,-0.713306673,4.824770614
Maria Island,16.15288845,2.019990996,-0.71058291,4.816406567
Maria Island,16.15716894,2.015003275,-0.707859147,4.807424835
Maria Island,16.16144942,2.010015554,-0.705135383,4.794008732
