location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,24.93324943,3.441970816,0.43638466,6.437512848
Jurien,25.14818283,3.411660322,0.410960426,6.397995502
Jurien,25.36311624,3.381349829,0.385570948,6.358040477
Jurien,25.57804964,3.351039335,0.357045884,6.309944639
Jurien,25.79298305,3.320728842,0.31681578,6.277612775
Jurien,26.00791645,3.290418348,0.276585675,6.245549549
Jurien,26.22284986,3.260107854,0.236355571,6.212540464
Jurien,26.43778326,3.229797361,0.196125466,6.181273004
Jurien,26.65271667,3.199486867,0.155895362,6.14926838
Jurien,26.86765007,3.169176373,0.115844902,6.117263757
Jurien,27.08258348,3.13886588,0.075970445,6.084745344
Jurien,27.29751688,3.108555386,0.043796771,6.038794299
Jurien,27.51245029,3.078244893,0.028574346,5.997922025
Jurien,27.72738369,3.047934399,0.01335192,5.974208724
Jurien,27.9423171,3.017623905,-0.020286438,5.950495424
Jurien,28.1572505,2.987313412,-0.080731555,5.924069923
Jurien,28.37218391,2.957002918,-0.108321655,5.892003478
Jurien,28.58711731,2.926692424,-0.12560589,5.859804427
Jurien,28.80205072,2.896381931,-0.142890126,5.82170821
Jurien,29.01698412,2.866071437,-0.160174361,5.766354916
Jurien,29.23191753,2.835760943,-0.188920397,5.71096197
Jurien,29.44685093,2.80545045,-0.223274866,5.666113977
Jurien,29.66178434,2.775139956,-0.257629336,5.636034233
Jurien,29.87671774,2.744829463,-0.284040452,5.605954489
Jurien,30.09165115,2.714518969,-0.305631599,5.575874745
Jurien,30.30658455,2.684208475,-0.327733776,5.545663876
Jurien,30.52151796,2.653897982,-0.358226358,5.51544487
Jurien,30.73645136,2.623587488,-0.383650715,5.485225865
Jurien,30.95138476,2.593276994,-0.403680549,5.455006859
Jurien,31.16631817,2.562966501,-0.428765936,5.42138661
Jurien,31.38125157,2.532656007,-0.46430306,5.375388466
Jurien,31.59618498,2.502345514,-0.499840183,5.339533398
Jurien,31.81111838,2.47203502,-0.535377307,5.304375382
Jurien,32.02605179,2.441724526,-0.57091443,5.264743844
Jurien,32.24098519,2.411414033,-0.599567438,5.225112306
Jurien,32.4559186,2.381103539,-0.621436298,5.192907365
Jurien,32.670852,2.350793045,-0.642932095,5.161582787
Jurien,32.88578541,2.320482552,-0.664427893,5.130095534
Jurien,33.10071881,2.290172058,-0.685923691,5.098608281
Jurien,33.31565222,2.259861564,-0.702868126,5.067121029
Jurien,33.53058562,2.229551071,-0.719289984,5.035633776
